ICD-9-CM CODE,CCS CATEGORY,CCS CATEGORY DESCRIPTION,ICD-9-CM CODE DESCRIPTION
01.01,1,Inc/exc CNS,CISTERNAL PUNCTURE
01.09,1,Inc/exc CNS,CRANIAL PUNCTURE NEC
01.21,1,Inc/exc CNS,CRANIAL SINUS I & D
01.22,1,Inc/exc CNS,REMOV INTRACRAN STIMULAT
01.23,1,Inc/exc CNS,REOPEN CRANIOTOMY SITE
01.24,1,Inc/exc CNS,OTHER CRANIOTOMY
01.25,1,Inc/exc CNS,OTHER CRANIECTOMY
01.26,1,Incision and,INS CATH-CRANIAL CAVITY (Begin 2005)
01.27,1,Incision and,REM CATH-CRANIAL CAVITY (Begin 2005)
01.28,1,Inc/exc CNS,INTRACEREB CTH-BURR HOLE (Begin 2006)
01.31,1,Inc/exc CNS,INCISE CEREBRAL MENINGES
01.32,1,Inc/exc CNS,LOBOTOMY & TRACTOTOMY
01.39,1,Inc/exc CNS,OTHER BRAIN INCISION
01.41,1,Inc/exc CNS,THALAMUS OPERATIONS
01.42,1,Inc/exc CNS,GLOBUS PALLIDUS OPS
01.51,1,Inc/exc CNS,EX CEREB MENINGEAL LES
01.52,1,Inc/exc CNS,HEMISPHERECTOMY
01.53,1,Inc/exc CNS,BRAIN LOBECTOMY
01.59,1,Inc/exc CNS,OTHER BRAIN EXCISION
02.31,2,Extcrn shunt,VENTRICL SHUNT-HEAD/NECK
02.32,2,Extcrn shunt,VENTRI SHUNT-CIRCULA SYS
02.33,2,Extcrn shunt,VENTRICL SHUNT-THORAX
02.34,2,Extcrn shunt,VENTRICL SHUNT-ABDOMEN
02.35,2,Extcrn shunt,VENTRI SHUNT-UNINARY SYS
02.39,2,Extcrn shunt,OTHER VENTRICULAR SHUNT
02.42,2,Extcrn shunt,REPLACE VENTRICLE SHUNT
02.43,2,Extcrn shunt,REMOVE VENTRICLE SHUNT
03.02,3,Laminectomy,REOPEN LAMINECTOMY SITE
